Date,Value
28/12/2010,12.3653
29/12/2010,12.3567
30/12/2010,12.3571
31/12/2010,12.3817
01/01/2011,N/E
02/01/2011,N/E
03/01/2011,12.3496
04/01/2011,12.2574
05/01/2011,12.2619
06/01/2011,12.2064
07/01/2011,12.2256
08/01/2011,N/E
09/01/2011,N/E
10/01/2011,12.2369
11/01/2011,12.2542
12/01/2011,12.1907
13/01/2011,12.0757
14/01/2011,12.1028
15/01/2011,N/E
16/01/2011,N/E
17/01/2011,12.0871
18/01/2011,12.0299
19/01/2011,12.0261
20/01/2011,12.0744
21/01/2011,12.0903
22/01/2011,N/E
23/01/2011,N/E
24/01/2011,12.0482
25/01/2011,12.0516
26/01/2011,12.0856
27/01/2011,12.0408
28/01/2011,12.0239
29/01/2011,N/E
30/01/2011,N/E
31/01/2011,12.1214
01/02/2011,12.1519
02/02/2011,12.0170
03/02/2011,12.0190
04/02/2011,12.0499
05/02/2011,N/E
06/02/2011,N/E
07/02/2011,11.9946
08/02/2011,N/E
09/02/2011,11.9937
10/02/2011,12.0432
11/02/2011,12.0937
12/02/2011,N/E
13/02/2011,N/E
14/02/2011,12.0635
15/02/2011,12.0461
16/02/2011,12.1140
17/02/2011,12.0957
18/02/2011,12.0483
19/02/2011,N/E
20/02/2011,N/E
21/02/2011,12.0172
22/02/2011,12.0558
23/02/2011,12.0917
24/02/2011,12.1900
25/02/2011,12.1730
26/02/2011,N/E
27/02/2011,N/E
28/02/2011,12.1235
01/03/2011,12.1062
02/03/2011,12.0929
03/03/2011,12.0981
04/03/2011,12.0368
05/03/2011,N/E
06/03/2011,N/E
07/03/2011,12.0064
08/03/2011,12.0170
09/03/2011,12.0254
10/03/2011,11.9680
11/03/2011,11.9755
12/03/2011,N/E
13/03/2011,N/E
14/03/2011,11.9441
15/03/2011,11.9235
16/03/2011,12.0171
17/03/2011,12.0710
18/03/2011,12.0925
19/03/2011,N/E
20/03/2011,N/E
21/03/2011,12.0615
22/03/2011,N/E
23/03/2011,11.9885
24/03/2011,12.0004
25/03/2011,11.9555
26/03/2011,N/E
27/03/2011,N/E
28/03/2011,11.9505
29/03/2011,11.9590
30/03/2011,11.9678
31/03/2011,11.9219
01/04/2011,11.9084
02/04/2011,N/E
03/04/2011,N/E
04/04/2011,11.8412
05/04/2011,11.8533
06/04/2011,11.8322
07/04/2011,11.7836
08/04/2011,11.7931
09/04/2011,N/E
10/04/2011,N/E
11/04/2011,11.7421
12/04/2011,11.7447
13/04/2011,11.8266
14/04/2011,11.7907
15/04/2011,11.7679
16/04/2011,N/E
17/04/2011,N/E
18/04/2011,11.7090
19/04/2011,11.7783
20/04/2011,11.6925
21/04/2011,11.6252
22/04/2011,N/E
23/04/2011,N/E
24/04/2011,N/E
25/04/2011,N/E
26/04/2011,11.6294
27/04/2011,11.5824
28/04/2011,11.5868
29/04/2011,11.5428
30/04/2011,N/E
01/05/2011,N/E
02/05/2011,11.5278
03/05/2011,11.5023
04/05/2011,11.5665
05/05/2011,11.6214
06/05/2011,11.6934
07/05/2011,N/E
08/05/2011,N/E
09/05/2011,11.6090
10/05/2011,11.6410
11/05/2011,11.6009
12/05/2011,11.6075
13/05/2011,11.6656
14/05/2011,N/E
15/05/2011,N/E
16/05/2011,11.7219
17/05/2011,11.7094
18/05/2011,11.7660
19/05/2011,11.7234
20/05/2011,11.6588
21/05/2011,N/E
22/05/2011,N/E
23/05/2011,11.6467
24/05/2011,11.7292
25/05/2011,11.7032
26/05/2011,11.6948
27/05/2011,11.6956
28/05/2011,N/E
29/05/2011,N/E
30/05/2011,11.6256
31/05/2011,11.6123
01/06/2011,11.5780
02/06/2011,11.6277
03/06/2011,11.6739
04/06/2011,N/E
05/06/2011,N/E
06/06/2011,11.6689
07/06/2011,11.6983
08/06/2011,11.7196
09/06/2011,11.8001
10/06/2011,11.7965
11/06/2011,N/E
12/06/2011,N/E
13/06/2011,11.8686
14/06/2011,11.8680
15/06/2011,11.7982
16/06/2011,11.8751
17/06/2011,11.9591
18/06/2011,N/E
19/06/2011,N/E
20/06/2011,11.9006
21/06/2011,11.8916
22/06/2011,11.8130
23/06/2011,11.7789
24/06/2011,11.8816
25/06/2011,N/E
26/06/2011,N/E
27/06/2011,11.8822
28/06/2011,11.8938
29/06/2011,11.8389
30/06/2011,11.7748
01/07/2011,11.7230
02/07/2011,N/E
03/07/2011,N/E
04/07/2011,11.6368
05/07/2011,11.5925
06/07/2011,11.6194
07/07/2011,11.6544
08/07/2011,11.5738
09/07/2011,N/E
10/07/2011,N/E
11/07/2011,11.6337
12/07/2011,11.7274
13/07/2011,11.7867
14/07/2011,11.7170
15/07/2011,11.7010
16/07/2011,N/E
17/07/2011,N/E
18/07/2011,11.7178
19/07/2011,11.7877
20/07/2011,11.6964
21/07/2011,11.6638
22/07/2011,11.6174
23/07/2011,N/E
24/07/2011,N/E
25/07/2011,11.6393
26/07/2011,11.6641
27/07/2011,11.6172
28/07/2011,11.6527
29/07/2011,11.6821
30/07/2011,N/E
31/07/2011,N/E
01/08/2011,11.7425
02/08/2011,11.7514
03/08/2011,11.7657
04/08/2011,11.8473
05/08/2011,11.9523
06/08/2011,N/E
07/08/2011,N/E
08/08/2011,11.9794
09/08/2011,12.1845
10/08/2011,12.3710
11/08/2011,12.3221
12/08/2011,12.3899
13/08/2011,N/E
14/08/2011,N/E
15/08/2011,12.2992
16/08/2011,12.2424
17/08/2011,12.2631
18/08/2011,12.1651
19/08/2011,12.3685
20/08/2011,N/E
21/08/2011,N/E
22/08/2011,12.2386
23/08/2011,12.2948
24/08/2011,12.3357
25/08/2011,12.3952
26/08/2011,12.4259
27/08/2011,N/E
28/08/2011,N/E
29/08/2011,12.4953
30/08/2011,12.4148
31/08/2011,12.4838
01/09/2011,12.3480
02/09/2011,12.2616
03/09/2011,N/E
04/09/2011,N/E
05/09/2011,12.3735
06/09/2011,12.5353
07/09/2011,12.5102
08/09/2011,12.4661
09/09/2011,12.4956
10/09/2011,N/E
11/09/2011,N/E
12/09/2011,12.6324
13/09/2011,12.7687
14/09/2011,12.8994
15/09/2011,12.9646
16/09/2011,12.9127
17/09/2011,N/E
18/09/2011,N/E
19/09/2011,N/E
20/09/2011,13.1860
21/09/2011,13.1669
22/09/2011,13.4045
23/09/2011,13.8917
24/09/2011,N/E
25/09/2011,N/E
26/09/2011,13.7788
27/09/2011,13.6677
28/09/2011,13.3414
29/09/2011,13.4217
30/09/2011,13.4567
01/10/2011,N/E
02/10/2011,N/E
03/10/2011,13.7994
04/10/2011,13.8967
05/10/2011,13.9714
06/10/2011,13.6675
07/10/2011,13.5341
08/10/2011,N/E
09/10/2011,N/E
10/10/2011,13.3143
11/10/2011,13.2751
12/10/2011,13.3266
13/10/2011,13.2213
14/10/2011,13.3647
15/10/2011,N/E
16/10/2011,N/E
17/10/2011,13.2711
18/10/2011,13.2952
19/10/2011,13.4445
20/10/2011,13.3733
21/10/2011,13.6628
22/10/2011,N/E
23/10/2011,N/E
24/10/2011,13.5996
25/10/2011,13.4889
26/10/2011,13.4459
27/10/2011,13.4914
28/10/2011,13.1973
29/10/2011,N/E
30/10/2011,N/E
31/10/2011,13.1132
01/11/2011,13.1802
02/11/2011,13.6282
03/11/2011,N/E
04/11/2011,13.4128
05/11/2011,N/E
06/11/2011,N/E
07/11/2011,13.4698
08/11/2011,13.4504
09/11/2011,13.3852
10/11/2011,13.5252
11/11/2011,13.5622
12/11/2011,N/E
13/11/2011,N/E
14/11/2011,13.4165
15/11/2011,13.5122
16/11/2011,13.5672
17/11/2011,13.5847
18/11/2011,13.6375
19/11/2011,N/E
20/11/2011,N/E
21/11/2011,13.7033
22/11/2011,N/E
23/11/2011,13.9812
24/11/2011,14.1291
25/11/2011,14.1778
26/11/2011,N/E
27/11/2011,N/E
28/11/2011,14.2443
29/11/2011,14.0344
30/11/2011,13.9538
01/12/2011,13.6100
02/12/2011,13.5894
03/12/2011,N/E
04/12/2011,N/E
05/12/2011,13.5488
06/12/2011,13.4786
07/12/2011,13.4970
08/12/2011,13.5118
09/12/2011,13.6569
10/12/2011,N/E
11/12/2011,N/E
12/12/2011,13.6406
13/12/2011,N/E
14/12/2011,13.7714
15/12/2011,13.9412
16/12/2011,13.8230
17/12/2011,N/E
18/12/2011,N/E
19/12/2011,13.8450
20/12/2011,13.8542
21/12/2011,13.7720
22/12/2011,13.8526
23/12/2011,13.8169
24/12/2011,N/E
25/12/2011,N/E
26/12/2011,13.8163
27/12/2011,13.8483
28/12/2011,13.9658
29/12/2011,13.9904
30/12/2011,13.9787
31/12/2011,N/E
01/01/2012,N/E
02/01/2012,13.9476
03/01/2012,13.9342
04/01/2012,13.6882
05/01/2012,13.7144
06/01/2012,13.7409
07/01/2012,N/E
08/01/2012,N/E
09/01/2012,13.7228
10/01/2012,13.7437
11/01/2012,13.6204
12/01/2012,13.6592
13/01/2012,13.5982
14/01/2012,N/E
15/01/2012,N/E
16/01/2012,13.6263
17/01/2012,13.5401
18/01/2012,13.4621
19/01/2012,13.3267
20/01/2012,13.2516
21/01/2012,N/E
22/01/2012,N/E
23/01/2012,13.2240
24/01/2012,13.1383
25/01/2012,13.1712
26/01/2012,13.1319
27/01/2012,12.9325
28/01/2012,N/E
29/01/2012,N/E
30/01/2012,12.9504
31/01/2012,13.0063
01/02/2012,13.0077
02/02/2012,12.8900
03/02/2012,12.8038
04/02/2012,N/E
05/02/2012,N/E
06/02/2012,12.7120
07/02/2012,N/E
08/02/2012,12.6472
09/02/2012,12.6833
10/02/2012,12.7200
11/02/2012,N/E
12/02/2012,N/E
13/02/2012,12.7857
14/02/2012,12.7392
15/02/2012,12.7753
16/02/2012,12.7658
17/02/2012,12.8822
18/02/2012,N/E
19/02/2012,N/E
20/02/2012,12.7856
21/02/2012,12.6793
22/02/2012,12.7408
23/02/2012,12.8296
24/02/2012,12.8294
25/02/2012,N/E
26/02/2012,N/E
27/02/2012,12.8675
28/02/2012,12.8779
29/02/2012,12.8575
01/03/2012,12.7891
02/03/2012,12.7764
03/03/2012,N/E
04/03/2012,N/E
05/03/2012,12.7723
06/03/2012,12.8339
07/03/2012,12.9777
08/03/2012,12.9469
09/03/2012,12.7840
10/03/2012,N/E
11/03/2012,N/E
12/03/2012,12.6299
13/03/2012,12.7150
14/03/2012,12.6336
15/03/2012,12.6719
16/03/2012,12.6591
17/03/2012,N/E
18/03/2012,N/E
19/03/2012,12.6645
20/03/2012,N/E
21/03/2012,12.6935
22/03/2012,12.6833
23/03/2012,12.8330
24/03/2012,N/E
25/03/2012,N/E
26/03/2012,12.8035
27/03/2012,12.6795
28/03/2012,12.6706
29/03/2012,12.8039
30/03/2012,12.8489
31/03/2012,N/E
01/04/2012,N/E
02/04/2012,12.8093
03/04/2012,12.7691
04/04/2012,12.7317
05/04/2012,12.8155
06/04/2012,N/E
07/04/2012,N/E
08/04/2012,N/E
09/04/2012,N/E
10/04/2012,12.9902
11/04/2012,13.1568
12/04/2012,13.1324
13/04/2012,13.0736
14/04/2012,N/E
15/04/2012,N/E
16/04/2012,13.1458
17/04/2012,13.2168
18/04/2012,13.0816
19/04/2012,13.1322
20/04/2012,13.2288
21/04/2012,N/E
22/04/2012,N/E
23/04/2012,13.1171
24/04/2012,13.2087
25/04/2012,13.1392
26/04/2012,13.1667
27/04/2012,13.2093
28/04/2012,N/E
29/04/2012,N/E
30/04/2012,13.0141
01/05/2012,12.9942
02/05/2012,N/E
03/05/2012,12.9629
04/05/2012,12.9725
05/05/2012,N/E
06/05/2012,N/E
07/05/2012,13.1344
08/05/2012,13.1659
09/05/2012,13.3374
10/05/2012,13.5150
11/05/2012,13.4470
12/05/2012,N/E
13/05/2012,N/E
14/05/2012,13.4929
15/05/2012,13.6739
16/05/2012,13.7302
17/05/2012,13.7747
18/05/2012,13.7994
19/05/2012,N/E
20/05/2012,N/E
21/05/2012,13.7809
22/05/2012,13.7935
23/05/2012,13.7203
24/05/2012,14.0335
25/05/2012,14.0040
26/05/2012,N/E
27/05/2012,N/E
28/05/2012,14.0156
29/05/2012,13.9439
30/05/2012,13.9169
31/05/2012,14.0749
01/06/2012,14.3047
02/06/2012,N/E
03/06/2012,N/E
04/06/2012,14.3949
05/06/2012,14.2443
