Date,montoSpei,montoCodi,tc
21/10/2022,"529,339,072,164","9,332,135",20.0448
22/10/2022,"13,626,316,050","5,069,874",N/E
23/10/2022,"6,469,971,138","2,541,024",N/E
24/10/2022,"544,062,737,847","7,955,439",19.9647
25/10/2022,"553,943,751,851","7,139,408",19.9535
26/10/2022,"504,807,123,880","6,966,318",19.8712
27/10/2022,"595,107,131,334","7,985,707",19.8553
28/10/2022,"623,563,795,387","22,687,324",19.8365
29/10/2022,"18,591,732,101","6,410,668",N/E
30/10/2022,"8,830,737,944","3,729,932",N/E
31/10/2022,"829,976,379,137","10,432,969",19.8303
1/11/2022,"632,036,879,591","9,198,210",19.8245
2/11/2022,"21,200,030,508","6,244,596",N/E
3/11/2022,"661,400,554,546","9,591,580",19.7463
4/11/2022,"581,627,035,502","12,327,837",19.6673
5/11/2022,"15,467,400,091","6,433,885",N/E
6/11/2022,"7,063,851,498","3,181,667",N/E
7/11/2022,"569,771,183,393","9,544,648",19.5202
8/11/2022,"489,856,873,714","8,287,365",19.4647
9/11/2022,"493,169,744,520","8,577,034",19.4775
10/11/2022,"626,618,915,519","8,805,839",19.5887
11/11/2022,"548,314,043,219","10,641,285",19.394
12/11/2022,"15,880,715,197","5,633,033",N/E
13/11/2022,"7,545,146,264","3,217,516",N/E
14/11/2022,"676,331,662,674","10,613,779",19.5353
15/11/2022,"601,976,871,300","10,781,363",19.4015
16/11/2022,"523,776,130,077","8,301,401",19.3818
17/11/2022,"646,653,898,162","8,981,672",19.3137
18/11/2022,"613,355,138,066","11,942,756",19.4333
19/11/2022,"17,003,316,854","6,109,307",N/E
20/11/2022,"7,623,797,048","2,972,988",N/E
21/11/2022,"13,468,535,496","4,346,929",N/E
22/11/2022,"691,755,122,872","8,823,507",19.493
23/11/2022,"577,493,272,959","7,881,078",19.4667
24/11/2022,"491,091,622,095","9,191,901",19.3683
25/11/2022,"591,581,105,507","20,710,640",19.3692
26/11/2022,"15,322,557,175","5,189,197",N/E
27/11/2022,"7,160,503,574","2,995,685",N/E
28/11/2022,"715,668,976,638","9,728,680",19.3393
29/11/2022,"622,355,915,034","11,513,775",19.325
30/11/2022,"798,030,068,474","12,571,779",19.216
1/12/2022,"637,888,701,847","11,962,403",19.3965
