Date,relacion mont/num,tc,montoSpei,numSpei
5/6/2010,1,N/E,3,3
6/6/2010,#VALOR!,N/E,N/E,N/E
7/6/2010,"777,077",12.8603,"173,812,641,048","223,675"
8/6/2010,"1,066,365",12.9202,"215,135,961,130","201,747"
9/6/2010,"738,513",12.9288,"144,916,233,242","196,227"
10/6/2010,"909,087",12.8093,"208,059,065,932","228,866"
11/6/2010,"630,782",12.7441,"188,649,739,659","299,073"
12/6/2010,#VALOR!,N/E,N/E,N/E
13/06/2010,#VALOR!,N/E,N/E,N/E
14/06/2010,"733,532",12.6748,"196,854,920,127","268,366"
15/06/2010,"549,185",12.5974,"169,918,841,585","309,402"
16/06/2010,"713,825",12.6001,"156,588,254,002","219,365"
17/06/2010,"898,065",12.5878,"190,935,697,717","212,608"
18/06/2010,"529,759",12.5925,"157,622,965,117","297,537"
19/06/2010,1,N/E,3,3
20/06/2010,#VALOR!,N/E,N/E,N/E
21/06/2010,"692,888",12.54,"147,763,298,953","213,257"
22/06/2010,"716,762",12.4604,"136,285,209,447","190,140"
23/06/2010,"814,591",12.5246,"155,873,685,161","191,352"
24/06/2010,"768,479",12.6984,"159,348,740,158","207,356"
25/06/2010,"586,373",12.7141,"181,359,290,586","309,290"
26/06/2010,#VALOR!,N/E,N/E,N/E
27/06/2010,#VALOR!,N/E,N/E,N/E
28/06/2010,"840,732",12.7042,"199,329,171,541","237,090"
29/06/2010,"713,427",12.6567,"191,819,959,419","268,871"
30/06/2010,"571,603",12.8394,"224,537,483,496","392,821"
1/7/2010,"841,814",12.8441,"186,691,692,781","221,773"
2/7/2010,"567,005",13.0325,"159,353,808,761","281,045"
3/7/2010,#VALOR!,N/E,N/E,N/E
4/7/2010,#VALOR!,N/E,N/E,N/E
5/7/2010,"594,750",13.059,"140,432,424,178","236,120"
6/7/2010,"913,511",13.0953,"190,752,941,866","208,813"
7/7/2010,"894,826",12.9308,"179,825,039,425","200,961"
8/7/2010,"884,570",12.8975,"195,028,219,716","220,478"
9/7/2010,"625,934",12.8232,"193,814,072,896","309,640"
10/7/2010,#VALOR!,N/E,N/E,N/E
11/7/2010,#VALOR!,N/E,N/E,N/E
12/7/2010,"731,480",12.7859,"161,703,075,684","221,063"
13/07/2010,"766,604",12.8233,"158,370,497,796","206,587"
14/07/2010,"664,496",12.714,"168,088,258,967","252,956"
15/07/2010,"519,831",12.7176,"170,773,706,903","328,518"
16/07/2010,"548,253",12.7795,"177,068,141,652","322,968"
17/07/2010,#VALOR!,N/E,N/E,N/E
18/07/2010,#VALOR!,N/E,N/E,N/E
19/07/2010,"799,192",12.9013,"183,001,357,395","228,983"
20/07/2010,"789,652",12.9162,"162,911,498,374","206,308"
21/07/2010,"765,718",12.8549,"147,999,414,013","193,282"
22/07/2010,"705,017",12.7798,"146,451,727,031","207,728"
23/07/2010,"507,735",12.756,"147,512,104,922","290,530"
24/07/2010,#VALOR!,N/E,N/E,N/E
25/07/2010,#VALOR!,N/E,N/E,N/E
26/07/2010,"773,096",12.7749,"166,752,131,229","215,694"
27/07/2010,"865,879",12.6975,"171,667,463,983","198,258"
