Date,montoSpei,numSpei,tc
20/09/2021,"567,149,763,081","5,814,971",19.9853
21/09/2021,"401,781,347,296","5,005,894",20.1735
22/09/2021,"430,182,887,142","4,666,913",20.1438
23/09/2021,"402,842,744,690","5,097,592",20.0328
24/09/2021,"487,924,776,271","6,778,269",20.028
25/09/2021,"9,320,926,826","3,768,852",N/E
26/09/2021,"3,904,230,412","2,574,395",N/E
27/09/2021,"498,358,692,034","5,413,573",20.1118
28/09/2021,"485,159,570,822","5,472,248",20.1052
29/09/2021,"518,007,217,901","6,929,270",20.306
30/09/2021,"667,592,101,785","9,444,067",20.4977
1/10/2021,"559,510,631,700","8,572,644",20.5623
2/10/2021,"10,740,604,053","4,579,568",N/E
3/10/2021,"5,055,292,758","3,128,203",N/E
4/10/2021,"505,088,873,218","5,489,672",20.5103
5/10/2021,"421,971,441,138","5,767,692",20.5747
6/10/2021,"422,960,462,019","5,075,392",20.5818
7/10/2021,"431,535,689,455","5,468,027",20.6947
8/10/2021,"474,434,565,305","7,075,964",20.604
9/10/2021,"9,380,618,551","3,928,833",N/E
10/10/2021,"4,307,792,387","2,833,328",N/E
11/10/2021,"425,002,637,191","5,532,299",20.7293
12/10/2021,"431,635,568,525","4,992,882",20.8017
13/10/2021,"450,775,333,472","5,503,989",20.7767
14/10/2021,"488,326,068,683","7,236,430",20.6827
15/10/2021,"556,354,050,151","10,674,989",20.6075
16/10/2021,"11,389,061,909","4,981,796",N/E
17/10/2021,"5,106,251,986","3,298,353",N/E
18/10/2021,"522,999,404,086","6,231,871",20.4672
19/10/2021,"405,230,131,051","5,347,493",20.3587
20/10/2021,"445,224,133,866","5,158,468",20.2647
21/10/2021,"441,462,888,951","5,442,264",20.185
22/10/2021,"458,096,601,965","6,971,725",20.2643
23/10/2021,"9,711,361,879","3,939,153",N/E
24/10/2021,"4,173,809,163","2,772,896",N/E
25/10/2021,"484,826,758,577","5,703,854",20.1837
26/10/2021,"415,486,235,880","5,221,042",20.1897
27/10/2021,"448,642,583,179","5,444,046",20.1888
28/10/2021,"502,884,095,633","6,756,152",20.193
29/10/2021,"678,785,064,575","11,015,247",20.3255
30/10/2021,"16,425,251,475","5,462,430",N/E
31/10/2021,"6,760,876,515","3,591,602",N/E
1/11/2021,"524,336,578,921","6,837,526",20.5297
2/11/2021,"13,725,051,684","4,078,953",N/E
3/11/2021,"522,008,489,370","5,962,442",20.8598
4/11/2021,"451,526,299,474","6,005,532",20.8352
5/11/2021,"486,865,439,956","7,573,292",20.6242
6/11/2021,"10,406,040,296","4,244,225",N/E
7/11/2021,"4,561,538,902","2,918,506",N/E
8/11/2021,"495,873,301,855","5,826,109",20.3925
9/11/2021,"436,285,299,898","5,540,651",20.3265
10/11/2021,"456,642,735,473","6,101,897",20.2833
11/11/2021,"447,369,745,557","6,352,013",20.4702
12/11/2021,"525,544,698,068","10,123,504",20.4652
13/11/2021,"15,948,597,318","5,554,637",N/E
14/11/2021,"6,017,808,719","3,567,386",N/E
15/11/2021,"12,220,309,277","5,060,536",N/E
16/11/2021,"658,870,792,047","7,461,502",20.5072
17/11/2021,"539,341,012,498","6,085,608",20.8092
18/11/2021,"513,571,320,838","6,028,335",20.6912
19/11/2021,"494,600,279,855","7,466,079",20.7628
20/11/2021,"10,809,035,791","4,277,556",N/E
21/11/2021,"4,750,950,607","3,028,661",N/E
22/11/2021,"577,286,880,468","5,755,522",20.8283
23/11/2021,"443,067,103,218","5,333,322",20.9632
24/11/2021,"500,082,428,113","5,416,798",21.2107
25/11/2021,"422,613,566,641","5,850,146",21.4357
26/11/2021,"601,660,683,082","7,891,750",21.5462
27/11/2021,"11,888,961,653","4,461,336",N/E
28/11/2021,"5,092,620,082","3,103,972",N/E
29/11/2021,"649,560,723,696","8,129,213",21.8185
30/11/2021,"661,146,807,457","10,252,423",21.7333
1/12/2021,"527,756,227,080","7,708,061",21.4453
2/12/2021,"495,747,939,449","7,085,239",21.271
3/12/2021,"516,980,766,744","8,378,467",21.3033
4/12/2021,"11,967,253,135","4,696,077",N/E
5/12/2021,"5,677,108,390","3,391,294",N/E
6/12/2021,"577,987,898,959","6,726,917",21.4177
7/12/2021,"502,809,923,276","6,229,461",21.2047
8/12/2021,"488,379,156,460","6,212,882",21.0907
9/12/2021,"531,624,633,375","6,506,114",20.933
10/12/2021,"591,154,817,426","9,108,438",21.0328
11/12/2021,"13,183,549,981","4,790,846",N/E
12/12/2021,"5,574,708,391","3,266,774",N/E
13/12/2021,"602,861,132,619","7,212,850",20.8922
14/12/2021,"589,035,220,389","8,115,086",20.9383
15/12/2021,"645,212,258,799","10,198,687",21.165
16/12/2021,"679,130,458,142","8,428,919",21.2393
17/12/2021,"632,563,397,778","9,452,644",20.9238
18/12/2021,"14,588,695,920","5,045,444",N/E
19/12/2021,"6,276,526,772","3,417,783",N/E
20/12/2021,"663,589,446,594","7,678,897",20.7337
21/12/2021,"513,953,520,917","6,598,934",20.7363
22/12/2021,"523,941,184,977","6,569,372",20.7823
23/12/2021,"574,273,127,180","7,395,131",20.7527
24/12/2021,"364,376,635,021","5,691,236",20.6582
25/12/2021,"3,763,246,963","2,055,173",N/E
26/12/2021,"4,671,502,632","2,630,386",N/E
27/12/2021,"515,816,280,332","5,636,398",20.6112
28/12/2021,"478,544,149,629","5,673,873",20.6828
29/12/2021,"521,146,834,743","6,261,126",20.577
30/12/2021,"618,107,157,439","8,523,137",20.5835
31/12/2021,"564,014,713,373","7,124,912",20.5157
1/1/2022,"5,714,915,388","2,556,380",N/E
2/1/2022,"6,494,280,673","3,330,065",N/E
3/1/2022,"521,151,422,401","6,452,339",20.4672
4/1/2022,"393,241,016,677","5,830,330",20.589
5/1/2022,"411,315,439,043","6,072,044",20.4742
6/1/2022,"399,554,529,092","5,808,086",20.3977
7/1/2022,"450,791,341,596","7,018,106",20.4588
8/1/2022,"10,252,454,060","4,071,627",N/E
9/1/2022,"4,818,199,776","2,998,677",N/E
10/1/2022,"539,584,816,978","6,044,264",20.4237
11/1/2022,"467,256,607,026","5,142,194",20.4453
12/1/2022,"439,182,476,972","5,212,937",20.3785
13/01/2022,"472,874,597,607","6,518,784",20.366
14/01/2022,"651,658,206,407","10,529,654",20.3607
15/01/2022,"14,107,045,355","5,823,069",N/E
16/01/2022,"6,297,776,951","3,823,692",N/E
17/01/2022,"584,336,926,803","6,867,532",20.3118
18/01/2022,"433,411,797,992","5,671,925",20.3002
19/01/2022,"403,429,427,541","5,439,325",20.403
20/01/2022,"446,918,529,753","5,705,409",20.46
21/01/2022,"463,663,213,154","7,036,809",20.4507
22/01/2022,"10,175,964,762","4,148,545",N/E
23/01/2022,"4,760,744,267","3,067,296",N/E
24/01/2022,"467,622,449,795","5,738,844",20.4598
25/01/2022,"425,396,605,611","5,375,552",20.6308
26/01/2022,"424,686,447,144","5,251,293",20.6683
27/01/2022,"486,648,281,475","5,904,441",20.6415
28/01/2022,"548,463,294,572","9,438,369",20.7383
29/01/2022,"14,002,777,651","5,095,181",N/E
30/01/2022,"6,143,359,453","3,629,917",N/E
31/01/2022,"721,231,861,738","9,655,268",20.8597
1/2/2022,"487,231,425,312","7,294,744",20.6352
2/2/2022,"427,781,460,774","6,299,314",20.58
3/2/2022,"430,759,295,764","6,256,331",20.6003
4/2/2022,"479,127,760,207","7,895,201",20.5562
5/2/2022,"10,709,090,547","4,410,053",N/E
6/2/2022,"4,933,802,059","3,196,160",N/E
7/2/2022,"10,133,145,996","4,018,130",N/E
8/2/2022,"531,739,383,322","6,341,461",20.7325
9/2/2022,"459,995,874,970","5,552,216",20.6413
10/2/2022,"504,121,336,306","6,475,100",20.5008
11/2/2022,"539,366,607,077","7,944,816",20.4148
12/2/2022,"11,242,110,361","4,759,297",N/E
13/02/2022,"5,301,870,871","3,550,728",N/E
14/02/2022,"567,030,261,581","8,181,524",20.4188
15/02/2022,"511,794,312,148","9,807,906",20.411
16/02/2022,"465,016,187,731","7,056,939",20.3992
17/02/2022,"510,180,649,432","6,650,154",20.3335
18/02/2022,"495,677,148,120","7,884,936",20.2978
19/02/2022,"11,010,009,494","4,646,215",N/E
20/02/2022,"5,111,960,636","3,427,825",N/E
21/02/2022,"466,390,004,893","6,241,455",20.3063
22/02/2022,"479,525,668,369","5,611,491",20.2825
23/02/2022,"470,423,384,691","5,376,198",20.2977
24/02/2022,"518,657,521,852","6,269,460",20.2435
25/02/2022,"622,502,637,296","9,419,151",20.6525
26/02/2022,"14,568,220,919","5,176,795",N/E
27/02/2022,"6,355,157,119","3,757,432",N/E
28/02/2022,"791,435,519,229","11,310,398",20.4465
1/3/2022,"500,098,781,135","8,083,529",20.4257
2/3/2022,"443,972,717,800","6,860,455",20.5272
3/3/2022,"454,434,469,474","6,791,977",20.7193
4/3/2022,"490,315,944,760","8,356,502",20.7033
5/3/2022,"12,205,750,167","5,025,649",N/E
6/3/2022,"5,438,585,035","3,500,771",N/E
7/3/2022,"526,319,054,064","6,610,604",20.9262
8/3/2022,"466,046,251,796","5,739,858",21.1947
9/3/2022,"450,022,122,220","5,545,409",21.3775
10/3/2022,"490,916,305,407","6,584,808",20.9677
11/3/2022,"564,935,603,026","8,063,388",20.9743
12/3/2022,"12,032,686,006","4,814,581",N/E
13/03/2022,"5,355,946,046","3,486,523",N/E
14/03/2022,"576,461,983,103","8,395,445",20.9695
15/03/2022,"518,241,705,797","10,191,534",20.8908
16/03/2022,"513,445,808,852","7,291,942",20.8743
17/03/2022,"566,783,141,489","6,956,519",20.7035
18/03/2022,"568,450,868,835","8,439,824",20.5585
19/03/2022,"11,542,049,823","4,738,667",N/E
20/03/2022,"5,043,021,572","3,348,226",N/E
21/03/2022,"9,002,062,948","4,007,012",N/E
22/03/2022,"610,131,860,603","6,474,479",20.4145
23/03/2022,"553,064,223,576","5,730,688",20.2782
24/03/2022,"498,420,179,891","6,198,205",20.18
25/03/2022,"597,888,167,806","8,167,919",20.1313
26/03/2022,"11,706,695,512","4,706,183",N/E
27/03/2022,"5,189,181,010","3,424,025",N/E
28/03/2022,"562,924,748,345","6,681,061",19.9577
29/03/2022,"571,762,520,339","6,618,642",20.1195
30/03/2022,"606,391,503,672","8,790,476",19.9942
31/03/2022,"786,227,984,281","10,423,072",19.8632
1/4/2022,"512,132,673,832","9,791,666",19.9112
2/4/2022,"12,836,378,017","5,569,004",N/E
3/4/2022,"6,226,045,669","3,897,606",N/E
4/4/2022,"515,826,166,687","7,322,526",19.8432
5/4/2022,"447,146,836,028","6,714,312",19.7443
6/4/2022,"462,552,589,187","6,363,559",19.9012
7/4/2022,"485,320,286,000","6,821,204",20.0665
8/4/2022,"516,848,484,965","8,809,501",20.1605
9/4/2022,"12,438,026,156","5,034,697",N/E
10/4/2022,"5,663,067,242","3,563,833",N/E
11/4/2022,"555,398,569,745","6,848,631",20.12
12/4/2022,"527,619,999,936","7,045,183",20.0093
13/04/2022,"630,238,320,157","11,511,542",19.8407
14/04/2022,"16,838,804,554","5,729,223",N/E
15/04/2022,"10,264,168,054","4,867,952",N/E
16/04/2022,"7,438,558,877","4,162,222",N/E
17/04/2022,"5,609,334,361","3,543,337",N/E
18/04/2022,"682,340,453,574","7,676,861",19.7967
19/04/2022,"459,060,022,222","6,364,615",19.9377
20/04/2022,"458,788,746,060","6,215,957",20.0447
21/04/2022,"478,905,816,323","6,531,285",20.0383
22/04/2022,"510,220,249,528","8,049,237",20.1802
23/04/2022,"11,627,132,781","4,872,368",N/E
24/04/2022,"5,357,867,723","3,516,315",N/E
25/04/2022,"541,528,847,608","6,855,811",20.3183
26/04/2022,"468,710,428,721","6,028,250",20.2992
27/04/2022,"506,830,376,777","6,372,088",20.356
28/04/2022,"542,800,672,168","8,012,473",20.4707
29/04/2022,"779,306,408,520","12,433,866",20.567
30/04/2022,"19,811,008,486","7,062,642",N/E
1/5/2022,"9,284,404,076","4,940,013",N/E
2/5/2022,"558,513,964,792","8,459,860",20.3728
3/5/2022,"451,099,586,608","6,864,646",20.4075
4/5/2022,"483,000,240,259","6,762,683",20.335
5/5/2022,"465,196,830,032","7,344,071",20.2535
6/5/2022,"535,450,150,612","8,804,113",20.2218
7/5/2022,"12,170,540,488","5,231,268",N/E
8/5/2022,"5,637,751,131","3,758,082",N/E
9/5/2022,"512,086,660,961","7,611,749",20.1085
10/5/2022,"503,624,708,095","6,475,968",20.3172
11/5/2022,"488,639,276,091","6,331,265",20.372
12/5/2022,"555,697,437,584","7,444,497",20.2592
13/05/2022,"604,384,055,138","12,414,947",20.32
14/05/2022,"15,135,132,136","6,425,545",N/E
15/05/2022,"8,523,961,829","4,970,364",N/E
16/05/2022,"599,066,536,069","8,706,083",20.1443
17/05/2022,"522,450,502,615","7,074,970",20.0782
18/05/2022,"488,882,037,924","6,467,383",19.9637
19/05/2022,"478,320,483,200","6,814,041",19.9663
20/05/2022,"543,585,981,425","8,844,676",19.9267
21/05/2022,"12,370,520,708","5,334,879",N/E
22/05/2022,"5,603,940,783","3,709,139",N/E
23/05/2022,"546,675,871,122","6,863,403",19.8657
24/05/2022,"456,495,635,363","6,364,427",19.8282
25/05/2022,"505,335,229,804","6,580,648",19.887
26/05/2022,"516,055,936,423","7,074,546",19.8377
27/05/2022,"589,316,098,427","9,510,437",19.7933
28/05/2022,"13,600,911,904","5,495,364",N/E
29/05/2022,"6,556,707,873","3,938,116",N/E
30/05/2022,"560,454,418,787","10,004,313",19.5965
31/05/2022,"728,667,860,414","10,774,894",19.4953
1/6/2022,"564,720,410,532","8,335,736",19.694
2/6/2022,"478,641,174,889","7,688,665",19.7388
3/6/2022,"518,011,659,800","9,132,828",19.5585
4/6/2022,"12,911,063,572","5,515,575",N/E
5/6/2022,"6,184,532,406","3,993,531",N/E
6/6/2022,"512,417,018,285","7,282,692",19.5742
7/6/2022,"432,515,812,692","6,417,815",19.5547
8/6/2022,"459,901,935,477","6,314,078",19.5998
9/6/2022,"481,491,607,953","6,646,521",19.59
10/6/2022,"580,627,033,885","9,002,021",19.6128
11/6/2022,"12,391,667,889","5,391,316",N/E
12/6/2022,"5,840,123,837","3,666,943",N/E
13/06/2022,"604,843,659,362","7,101,209",19.9297
14/06/2022,"543,303,369,244","8,535,729",20.4527
15/06/2022,"600,591,221,034","10,651,459",20.6583
16/06/2022,"513,313,652,804","8,393,618",20.6675
17/06/2022,"585,690,017,164","9,409,096",20.5728
18/06/2022,"12,910,697,660","5,671,748",N/E
19/06/2022,"5,518,339,353","3,775,342",N/E
20/06/2022,"568,203,614,227","7,181,506",20.476
21/06/2022,"505,362,337,328","6,360,069",20.2442
22/06/2022,"471,925,121,424","6,281,937",20.1963
23/06/2022,"505,105,124,553","6,653,102",20.0465
24/06/2022,"580,563,792,088","8,595,503",20.0365
25/06/2022,"12,190,844,445","5,155,963",N/E
26/06/2022,"5,773,218,456","3,651,894",N/E
27/06/2022,"587,109,296,937","7,038,269",19.8707
28/06/2022,"698,190,811,475","7,033,948",19.8797
29/06/2022,"568,269,057,728","8,580,694",19.9847
30/06/2022,"734,710,610,945","12,049,218",20.1443
1/7/2022,"579,972,273,128","11,057,235",20.1335
2/7/2022,"14,503,291,257","6,333,553",N/E
3/7/2022,"6,999,122,347","4,376,830",N/E
4/7/2022,"478,612,679,148","8,058,505",20.3817
5/7/2022,"514,213,259,581","7,213,546",20.2877
6/7/2022,"524,726,922,080","6,731,972",20.5598
7/7/2022,"506,789,106,981","7,119,120",20.7228
8/7/2022,"520,725,727,946","8,970,703",20.6022
9/7/2022,"12,748,249,841","5,359,313",N/E
10/7/2022,"6,154,271,728","3,904,775",N/E
11/7/2022,"535,815,128,400","6,985,257",20.4423
12/7/2022,"480,534,137,108","6,487,511",20.7473
13/07/2022,"491,219,168,883","7,041,464",20.7882
14/07/2022,"553,206,981,156","9,124,749",20.7613
15/07/2022,"646,706,922,057","13,192,331",20.9415
16/07/2022,"15,213,342,534","6,713,873",N/E
17/07/2022,"6,968,272,259","4,416,908",N/E
18/07/2022,"626,770,523,883","7,853,003",20.611
19/07/2022,"471,750,477,201","6,664,992",20.3957
20/07/2022,"500,395,953,717","6,814,792",20.4407
21/07/2022,"466,292,663,705","7,001,876",20.4913
22/07/2022,"492,866,571,093","8,616,984",20.6562
23/07/2022,"12,762,619,336","5,265,072",N/E
24/07/2022,"5,937,574,313","3,747,893",N/E
25/07/2022,"570,572,927,789","7,087,844",20.515
26/07/2022,"456,304,437,707","6,453,103",20.4652
27/07/2022,"489,138,162,960","6,570,601",20.433
28/07/2022,"566,094,068,506","8,238,204",20.512
29/07/2022,"710,690,834,858","13,095,798",20.3778
30/07/2022,"20,165,177,944","7,045,277",N/E
31/07/2022,"8,956,391,127","4,912,343",N/E
1/8/2022,"579,821,897,817","9,151,460",20.3485
2/8/2022,"487,935,293,744","7,434,048",20.2633
3/8/2022,"472,978,711,419","7,185,054",20.5152
4/8/2022,"487,097,705,537","7,364,443",20.6305
5/8/2022,"546,229,045,712","9,348,481",20.3358
6/8/2022,"13,048,693,631","5,590,096",N/E
7/8/2022,"6,259,136,534","3,887,792",N/E
8/8/2022,"501,945,868,759","7,139,285",20.401
9/8/2022,"442,887,984,030","6,481,594",20.2789
10/8/2022,"490,293,300,398","6,552,305",20.2715
