Date,montoSpei,montoCodi,tc
27/07/2010,"171,667,463,983",,12.6975
28/07/2010,"160,561,526,813",,12.6469
29/07/2010,"188,742,061,400",,12.6798
30/07/2010,"222,003,861,170",,12.7038
31/07/2010,N/E,,N/E
1/8/2010,N/E,,N/E
2/8/2010,"170,387,324,442",,12.6455
3/8/2010,"153,799,363,021",,12.5728
4/8/2010,"143,508,390,342",,12.6048
5/8/2010,"155,932,055,751",,12.5535
6/8/2010,"162,724,956,193",,12.5367
7/8/2010,N/E,,N/E
8/8/2010,N/E,,N/E
9/8/2010,"163,916,263,006",,12.655
10/8/2010,"182,305,986,639",,12.6461
11/8/2010,"156,801,495,616",,12.6927
12/8/2010,"174,013,217,431",,12.7432
13/08/2010,"168,607,407,087",,12.7258
14/08/2010,N/E,,N/E
15/08/2010,N/E,,N/E
16/08/2010,"161,380,232,532",,12.7256
17/08/2010,"178,980,581,528",,12.6458
18/08/2010,"152,683,013,925",,12.5944
19/08/2010,"149,250,373,924",,12.6073
20/08/2010,"154,919,237,521",,12.7226
21/08/2010,N/E,,N/E
22/08/2010,N/E,,N/E
23/08/2010,"182,616,386,398",,12.7683
24/08/2010,"181,513,480,376",,12.8492
25/08/2010,"204,251,462,538",,12.936
26/08/2010,"213,238,427,228",,13.0453
27/08/2010,"198,660,333,011",,12.984
28/08/2010,N/E,,N/E
29/08/2010,N/E,,N/E
30/08/2010,"241,461,995,529",,13.0148
31/08/2010,"255,108,889,031",,13.1367
1/9/2010,"213,162,424,272",,13.1676
2/9/2010,"198,816,126,975",,13.0538
3/9/2010,"212,180,810,225",,13.055
4/9/2010,N/E,,N/E
5/9/2010,N/E,,N/E
6/9/2010,"184,190,595,715",,12.9526
7/9/2010,"201,538,056,152",,12.9395
8/9/2010,"195,397,303,798",,13.0566
9/9/2010,"208,945,695,618",,13.0034
10/9/2010,"211,419,929,898",,12.9853
11/9/2010,2,,N/E
12/9/2010,N/E,,N/E
13/09/2010,"225,091,630,692",,12.9616
14/09/2010,"228,816,371,187",,12.8729
15/09/2010,"167,255,781,105",,12.8355
16/09/2010,N/E,,12.7793
17/09/2010,N/E,,N/E
18/09/2010,N/E,,N/E
19/09/2010,N/E,,N/E
20/09/2010,"249,724,171,793",,N/E
21/09/2010,"206,471,533,316",,12.7623
22/09/2010,"207,102,848,992",,12.7594
23/09/2010,"206,404,162,814",,12.6886
24/09/2010,"227,582,766,367",,12.6422
25/09/2010,N/E,,N/E
26/09/2010,2,,N/E
27/09/2010,"236,684,995,914",,12.5491
28/09/2010,"191,942,899,737",,12.5168
29/09/2010,"244,460,550,375",,12.5011
30/09/2010,"296,325,961,164",,12.4801
